id,prediction
1,4
2,3
3,3
4,0
5,2
6,0
7,0
8,2
9,0
10,4
11,2
12,4
13,4
14,1
15,4
16,3
17,0
18,4
19,3
20,1
21,0
22,4
23,0
24,0
25,3
26,2
27,4
28,3
29,4
30,4
31,4
32,3
33,4
34,2
35,4
36,0
37,0
38,0
39,4
40,1
41,1
42,4
43,0
44,4
45,0
46,0
47,4
48,2
49,4
50,1
51,2
52,4
53,4
54,0
55,3
56,4
57,0
58,3
59,4
60,3
61,2
62,4
63,4
64,2
65,4
66,3
67,3
68,0
69,0
70,3
71,0
72,3
73,1
74,4
75,0
76,3
77,0
78,0
79,2
80,2
81,0
82,3
83,0
84,4
85,0
86,3
87,2
88,4
89,4
90,2
91,2
92,1
93,3
94,2
95,2
96,2
97,0
98,1
99,4
100,3
101,0
102,0
103,0
104,4
105,4
106,3
107,2
108,3
109,4
110,4
111,1
112,2
113,0
114,3
115,2
116,3
117,0
118,0
119,4
120,0
121,3
122,4
123,4
124,0
125,2
126,4
127,4
128,1
129,3
130,0
131,0
132,3
133,2
134,0
135,0
136,4
137,3
138,0
139,0
140,1
141,0
142,3
143,0
144,0
145,4
146,3
147,0
148,4
149,4
150,4
151,4
152,0
153,3
154,3
155,4
156,2
157,0
158,0
159,2
160,3
161,1
162,1
163,4
164,1
165,3
166,4
167,0
168,3
169,3
170,3
171,2
172,2
173,4
174,1
175,2
176,3
177,4
178,0
179,1
180,1
181,3
182,0
183,0
184,1
185,4
186,3
187,1
188,3
189,2
190,1
191,4
192,3
193,2
194,0
195,1
196,3
197,4
198,0
199,3
200,0
201,2
202,0
203,4
204,2
205,4
206,4
207,3
208,3
209,3
210,1
211,2
212,1
213,4
214,4
215,1
216,0
217,4
218,0
219,1
220,3
221,4
222,4
223,1
224,1
225,3
226,3
227,1
228,3
229,0
230,2
231,0
232,4
233,0
234,3
235,2
236,1
237,2
238,3
239,0
240,4
241,0
242,0
243,1
244,1
245,1
246,2
247,1
248,3
249,0
250,4
251,4
252,4
253,2
254,1
255,3
256,4
257,4
258,4
259,2
260,2
261,4
262,0
263,4
264,3
265,4
266,4
267,2
268,4
269,3
270,3
271,2
272,4
273,0
274,4
275,1
276,1
277,3
278,0
279,4
280,0
281,3
282,4
283,1
284,4
285,0
286,0
287,1
288,3
289,1
290,4
291,4
292,4
293,0
294,1
295,4
296,3
297,4
298,3
299,3
300,3
301,0
302,1
303,2
304,1
305,2
306,3
307,1
308,0
309,4
310,1
311,1
312,1
313,3
314,0
315,3
316,4
317,4
318,1
319,4
320,3
321,3
322,2
323,4
324,2
325,0
326,3
327,3
328,2
329,2
330,3
331,2
332,1
333,1
334,3
335,4
336,2
337,4
338,2
339,2
340,1
341,3
342,1
343,4
344,0
345,4
346,0
347,0
348,4
349,4
350,3
351,1
352,2
353,0
354,4
355,3
356,3
357,0
358,1
359,4
360,2
361,2
362,1
363,3
364,0
365,3
366,4
367,3
368,0
369,0
370,1
371,1
372,0
373,2
374,2
375,4
376,1
377,4
378,3
379,2
380,3
381,2
382,1
383,1
384,1
385,3
386,3
387,4
388,4
389,2
390,1
391,4
392,4
393,0
394,4
395,1
396,1
397,0
398,3
399,3
400,1
401,0
402,1
403,3
404,0
405,3
406,1
407,2
408,0
409,4
410,1
411,1
412,3
413,4
414,3
415,0
416,2
417,1
418,0
419,1
420,2
421,1
422,1
423,1
424,1
425,3
426,3
427,0
428,1
429,4
430,3
431,0
432,4
433,2
434,4
435,4
436,0
437,0
438,4
439,1
440,0
441,0
442,0
443,1
444,4
445,1
446,3
447,3
448,3
449,1
450,2
451,0
452,4
453,0
454,0
455,0
456,1
457,4
458,4
459,3
460,3
461,1
462,4
463,4
464,0
465,0
466,1
467,4
468,3
469,1
470,0
471,1
472,3
473,1
474,4
475,1
476,0
477,3
478,4
479,2
480,3
481,1
482,0
483,0
484,1
485,0
486,2
487,3
488,4
489,0
490,1
491,4
492,2
493,3
494,2
495,0
496,1
497,3
498,0
499,3
500,2
501,0
502,0
503,0
504,0
505,4
506,2
507,1
508,3
509,4
510,2
511,3
512,0
513,4
514,3
515,1
516,0
517,3
518,0
519,2
520,2
521,0
522,4
523,4
524,3
525,4
526,2
527,2
528,4
529,3
530,3
531,0
532,4
533,3
534,1
535,4
536,4
537,4
538,3
539,0
540,3
541,0
542,4
543,1
544,4
545,4
546,4
547,4
548,1
549,2
550,3
551,3
552,2
553,0
554,0
555,1
556,0
557,1
558,3
559,0
560,4
561,1
562,4
563,3
564,3
565,0
566,3
567,1
568,0
569,0
570,0
571,3
572,4
573,2
574,1
575,4
576,3
577,2
578,0
579,3
580,2
581,3
582,1
583,4
584,0
585,1
586,0
587,0
588,4
589,4
590,0
591,1
592,2
593,0
594,4
595,0
596,3
597,0
598,4
599,4
600,3
601,1
602,4
603,3
604,0
605,2
606,0
607,4
608,4
609,2
610,3
611,3
612,0
613,0
614,1
615,4
616,0
617,0
618,2
619,2
620,4
621,3
622,1
623,4
624,0
625,4
626,3
627,3
628,1
629,1
630,0
631,4
632,1
633,2
634,4
635,3
636,3
637,2
638,3
639,0
640,1
641,0
642,0
643,3
644,4
645,2
646,4
647,1
648,1
649,4
650,0
651,4
652,2
653,4
654,0
655,2
656,2
657,2
658,2
659,4
660,3
661,3
662,4
663,2
664,2
665,3
666,1
667,1
668,2
669,4
670,1
671,1
672,1
673,2
674,4
675,1
676,0
677,4
678,3
679,3
680,0
681,1
682,3
683,2
684,4
685,1
686,3
687,1
688,1
689,0
690,0
691,0
692,0
693,3
694,0
695,1
696,4
697,0
698,2
699,1
700,1
701,0
702,1
703,4
704,1
705,4
706,3
707,4
708,0
709,4
710,3
711,0
712,2
713,0
714,1
715,4
716,4
717,2
718,0
719,3
720,2
721,0
722,1
723,4
724,0
725,0
726,3
727,2
728,4
729,2
730,3
731,4
732,4
733,4
734,4
735,1
736,4
737,4
738,1
739,2
740,0
741,4
742,4
743,4
744,1
745,0
746,0
747,3
748,4
749,3
750,3
751,3
752,4
753,3
754,2
755,1
756,3
757,2
758,2
759,4
760,2
761,4
762,4
763,3
764,0
765,4
766,3
767,2
768,1
769,3
770,4
771,4
772,0
773,3
774,2
775,0
776,1
777,3
778,0
779,0
780,4
781,4
782,3
783,3
784,0
785,0
786,4
787,0
788,1
789,0
790,4
791,0
792,0
793,0
794,0
795,4
796,4
797,3
798,0
799,3
800,4
801,4
802,4
803,3
804,1
805,0
806,1
807,1
808,2
809,4
810,3
811,4
812,3
813,3
814,3
815,1
816,4
817,0
818,1
819,0
820,0
821,4
822,4
823,0
824,4
825,3
826,0
827,2
828,1
829,2
830,1
831,4
832,4
833,1
834,0
835,3
836,3
837,4
838,3
839,0
840,0
841,4
842,0
843,0
844,0
845,4
846,1
847,3
848,3
849,0
850,4
851,2
852,3
853,1
854,0
855,3
856,2
857,0
858,0
859,1
860,2
861,1
862,2
863,4
864,4
865,3
866,3
867,0
868,1
869,2
870,0
871,4
872,1
873,0
874,2
875,4
876,4
877,4
878,4
879,0
880,4
881,2
882,0
883,2
884,2
885,4
886,0
887,0
888,1
889,3
890,4
891,3
892,0
893,0
